full_title,society_name,rent,area_sqft,apartment_type,preferred_tenants,link,Locality
3 BHK Apartment In Avj Platinum for Rent  In Gn Sector Zeta I,AVJ Platinum,26000,1450,3,"Female, Family",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-gn-sector-zeta-i-greater_noida-for-rs-26000/8aa9b9cb9c469393019c46f137c129e8/detail,Zeta I
2 BHK Apartment In Capital Athena for Rent  In Sector 1 Greater Noida West,Capital Athena,22000,1075,2,"Female, Family, Company",https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater-noida-west-greater_noida-for-rs-22000/8aa988a59c028df9019c037a398259ee/detail,Sector 1
"3 BHK Apartment In Gaursons 7th Avenue for Rent  In Kishan Chowk, Gh - 16c, Gaur City 1, Sector 4, Greater Noida, Ghaziabad, Uttar Pradesh 201318, India",Gaursons 7th Avenue,30000,1350,3,"Female, Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-kishan-chowk-gh---16c-gaur-city-1-sector-4-greater-noida-ghaziabad-uttar-pradesh-201318-india-noida-for-rs-30000/8a9f99838baf21b9018bb2e6f70f2b82/detail,Sector 4
"3 BHK Apartment In Nirala Estate for Rent  In Tech Zone Iv, Gh-04, Patwari, Greater Noida, Uttar Pradesh 201306, India",Nirala Estate,38000,1000,3,"Female, Family, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-tech-zone-iv-gh-04-patwari-greater-noida-uttar-pradesh-201306-india-noida-for-rs-38000/8aa9a9f39bb02833019bb0d13b2a360b/detail,Tech Zone Iv
3 BHK Apartment In Purvanchal Royal City for Rent  In Sector Chi V,Purvanchal Royal City,35000,1735,3,"Female, Family",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-chi-v-greater_noida-for-rs-35000/8a9fb483949cb43401949cec9f061645/detail,Chi V
"2 BHK Apartment In Amrapali Smart City, Sector 2 for Rent  In Sector 2","Amrapali Smart City, Sector 2",25000,945,2,Bachelor,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-2-greater_noida-for-rs-25000/8aa9b7ce9c337a5f019c33cf6ad5112e/detail,Sector 2
"2 BHK Apartment In Migsun Vilaasa for Rent  In Eta Ii, Greater Noida",Migsun Vilaasa,16000,660,2,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-eta-ii-greater-noida-greater_noida-for-rs-16000/8a9f868494da13220194da2844d407d4/detail,Eta Ii
2 BHK Apartment In Paramount Emotions  for Rent  In Sector 1,Paramount Emotions,12500,800,2,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-noida-for-rs-12500/8aa9a92c9c269a9a019c26f2edf61606/detail,Sector 1
2 BHK Apartment In Stellar Jeevan for Rent  In Omicron Iii,Stellar Jeevan,18000,1193,2,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-omicron-iii-greater_noida-for-rs-18000/8a9f8e4392af9bbb0192afbfbde20728/detail,Omicron Iii
"3 BHK Apartment In Migsun Twiinz for Rent  In 2202, Eta Ii, Greater Noida, Rasoolpur Rai, Uttar Pradesh 201310, India",Migsun Twiinz,7000,1350,3,"Male, Company",https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-2202-eta-ii-greater-noida-rasoolpur-rai-uttar-pradesh-201310-india-greater_noida-for-rs-7000/8aa9b2619bb5dd62019bb63bc3cb2c73/detail,Eta Ii
"2 BHK Apartment In Migsun Twinz for Rent  In  Eta 2,",Migsun Twinz,22000,845,2,Male,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in--eta-2--greater_noida-for-rs-22000/8a9fbb83957e704301957e9bdda90f49/detail,Eta
2 BHK Apartment In Vihaan Greens Sec 1 Greater for Rent  In Sector 1,Vihaan Greens sec 1 greater,16000,1075,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-1-greater_noida-for-rs-16000/8a9f908995dc08610195dc7d9ce72a16/detail,Sector 1
2 BHK Apartment In Proview Technocity Apartments for Rent  In Chi V,Proview Technocity Apartments,9000,1200,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-chi-v-greater_noida-for-rs-9000/8aa99dec9c4d3a8c019c4e3305563443/detail,Chi V
2 BHK Apartment In Panchsheel Greens 2 for Rent  In Sector 16b,Panchsheel Greens 2,17000,1100,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-16b-greater_noida-for-rs-17000/8a9ff082861be1d801861c88eec60424/detail,Sector 16b
2 BHK Apartment In Gaur City for Rent  In Sector 4 Single Sharing Room,Gaur City,8500,1050,2,Female,https://www.nobroker.in/property/2-bhk-apartment-for-rent-in-sector-4-single-sharing-room-greater_noida-for-rs-8500/8a9f87038cc8d1dc018cc900073d24b1/detail,Sector 4
"3 BHK Apartment In Vihaan Greens, Sector 1 for Rent  In Sector 1","Vihaan Greens, Sector 1",6200,1600,3,Female,https://www.nobroker.in/property/3-bhk-apartment-for-rent-in-sector-1-noida-for-rs-6200/8a9f82029c2e54c2019c2e7e14220644/detail,Sector 1
1 BHK Apartment In Oasis Venetia Heights for Rent  In Surajpur,Oasis Venetia Heights,6500,950,1,Female,https://www.nobroker.in/property/1-bhk-apartment-for-rent-in-surajpur-greater_noida-for-rs-6500/8aa9b3679b11ccfb019b11d9644302f4/detail,Surajpur
